name,srid,active,hof,positions,start,end,letter
Al Beauchamp,BeauAl20,False,False,LB,1968,1976,B
Joe Beauchamp,BeauJo20,False,False,DB,1966,1975,B
Doug Beaudoin,BeauDo20,False,False,DB,1976,1981,B
Clayton Beauford,BeauCl20,False,False,WR,1987,1987,B
Steve Beauharnais,BeauSt00,False,False,ILB,2013,2014,B
Jim Beaver,BeavJi20,False,False,DT,1962,1962,B
Aubrey Beavers,BeavAu20,False,False,LB,1994,1996,B
Scott Beavers,BeavSc20,False,False,G,1990,1990,B
Willie Beavers,BeavWi00,True,False,OT,2016,2016,B
Gary Beban,BebaGa00,False,False,QB,1968,1969,B
Nick Bebout,BeboNi20,False,False,T,1973,1980,B
Brett Bech,BechBr00,False,False,WR,1997,1999,B
Anthony Becht,BechAn00,False,False,TE,2000,2011,B
Hub Bechtol,BechHu20,False,False,E,1947,1949,B
Braden Beck,BeckBr20,False,False,K,1971,1971,B
Carl Beck,BeckCa20,False,False,T-G,1921,1921,B
Clarence Beck,BeckCl20,False,False,T-G,1925,1925,B
John Beck,BeckJo00,False,False,QB,2007,2011,B
Jordan Beck,BeckJo20,False,False,LB,2006,2007,B
Ken Beck,BeckKe20,False,False,DT-DE,1959,1960,B
Marty Beck,BeckMa20,False,False,B,1921,1926,B
Ray Beck,BeckRa20,False,False,G,1952,1957,B
Dave Becker,BeckDa20,False,False,DB,1980,1980,B
Doug Becker,BeckDo20,False,False,LB,1978,1978,B
Johnnie Becker,BeckJo21,False,False,T-G-B,1926,1929,B
Kurt Becker,BeckKu20,False,False,G,1982,1990,B
Wayland Becker,BeckWa20,False,False,E,1934,1939,B
Jack Beckett,BeckJa20,False,False,T,1920,1922,B
Rogers Beckett,BeckRo20,False,False,DB,2000,2004,B
Odell Beckham,BeckOd00,True,False,WR,2014,2017,B
Tony Beckham,BeckTo20,False,False,DB,2002,2007,B
Ian Beckles,BeckIa20,False,False,G,1990,1998,B
Art Beckley,BeckAr20,False,False,B,1926,1926,B
Brad Beckman,BeckBr00,False,False,TE,1988,1989,B
Ed Beckman,BeckEd00,False,False,TE,1977,1984,B
Tom Beckman,BeckTo21,False,False,DE,1972,1972,B
Travis Beckum,BeckTr00,False,False,TE,2009,2012,B
Darry Beckwith,BeckDa99,False,False,LB,2010,2010,B
John Beckwith,BeckJo22,False,False,HB,1920,1920,B
Kendell Beckwith,BeckKe00,True,False,ILB,2017,2017,B
Nick Becton,BectNi00,True,False,OT,2013,2015,B
Brad Bedell,BedeBr20,False,False,T,2000,2006,B
Gene Bedford,BedfGe20,False,False,E,1925,1926,B
Vance Bedford,BedfVa20,False,False,DB,1982,1982,B
Chuck Bednarik,BednCh00,False,True,LB-C,1949,1962,B
