name,srid,active,hof,positions,start,end,letter
Isaako Aaitui,AaitIs00,False,False,NT,2013,2014,A
Joe Abbey,AbbeJo20,False,False,E,1948,1949,A
Fay Abbott,AbboFa20,False,False,BB-FB-TB-QB-WB-E,1921,1929,A
Vince Abbott,abbotvin01,False,False,K,1987,1988,A
Jared Abbrederis,AbbrJa00,True,False,WR,2014,2017,A
Duke Abbruzzi,AbbrDu20,False,False,HB-DB,1946,1946,A
Mehdi Abdesmad,AbdeMe00,True,False,DE,2016,2016,A
Karim Abdul-Jabbar,AbduKa00,False,False,RB,1996,2000,A
Isa Abdul-Quddus,AbduIs00,False,False,S,2011,2016,A
Ameer Abdullah,AbduAm00,True,False,RB,2015,2017,A
Hamza Abdullah,AbduHa20,False,False,DB,2005,2011,A
Husain Abdullah,AbduHu99,False,False,DB,2008,2015,A
Khalid Abdullah,AbduKh20,False,False,LB,2003,2003,A
Rabih Abdullah,AbduRa00,False,False,RB,1999,2004,A
Rahim Abdullah,AbduRa20,False,False,LB,1999,2000,A
Fred Abel,AbelFr20,False,False,BB-FB,1926,1926,A
Bud Abell,AbelBu20,False,False,LB,1966,1968,A
Walter Abercrombie,AberWa00,False,False,RB,1982,1988,A
Cliff Aberson,AberCl20,False,False,TB-DB,1946,1946,A
Victor Abiamiri,AbiaVi99,False,False,DE,2007,2009,A
Oday Aboushi,AbouOd00,True,False,OT,2014,2017,A
Clifton Abraham,AbraCl20,False,False,DB,1995,1997,A
Donnie Abraham,AbraDo00,False,False,DB,1996,2004,A
John Abraham,AbraJo00,False,False,DE,2000,2014,A
Robert Abraham,AbraRo20,False,False,LB,1982,1987,A
Danny Abramowicz,AbraDa00,False,False,E,1967,1974,A
Sid Abramowitz,AbraSi20,False,False,T,1983,1987,A
Bobby Abrams,AbraBo20,False,False,LB,1990,1995,A
Kevin Abrams,AbraKe20,False,False,DB,1997,1999,A
Nate Abrams,AbraNa20,False,False,E,1921,1921,A
George Abramson,AbraGe20,False,False,G-T,1925,1925,A
Dick Abrell,AbreDi20,False,False,BB-WB,1920,1920,A
Ray Abruzzese,AbruRa20,False,False,B,1962,1966,A
Frank Abruzzino,AbruFr20,False,False,BB-LB-C-G-E-WB-DB,1931,1933,A
Dick Absher,AbshDi20,False,False,LB-K,1967,1972,A
Steve Ache,AcheSt20,False,False,LB,1987,1987,A
George Achica,AchiGe20,False,False,DT,1985,1985,A
Sneeze Achiu,AchiSn20,False,False,WB-TB-E-BB,1927,1928,A
Emmanuel Acho,AchoEm00,False,False,OLB,2012,2014,A
Sam Acho,AchoSa00,True,False,OLB,2011,2017,A
Bill Acker,AckeBi20,False,False,NT,1980,1987,A
Kenneth Acker,AckeKe00,True,False,CB,2014,2017,A
Rick Ackerman,AckeRi20,False,False,NT-DT,1982,1987,A
Tom Ackerman,AckeTo20,False,False,G-C,1996,2003,A
Ron Acks,AcksRo20,False,False,LB,1968,1976,A
Fred Acorn,AcorFr20,False,False,DB,1984,1984,A
Ed Adamchik,AdamEd20,False,False,C,1965,1965,A
Mike Adamle,AdamMi01,False,False,RB,1971,1976,A
Tony Adamle,AdamTo02,False,False,LB-FB,1947,1954,A
Aaron Adams,AdamAa00,False,False,T,2014,2014,A
Andrew Adams,AdamAn00,False,False,FS,2016,2017,A
Anthony Adams,AdamAn20,False,False,DT-NT,2003,2011,A
Bill Adams,AdamBi20,False,False,G-T,1972,1978,A
Blue Adams,AdamBl20,False,False,DB,2003,2007,A
Bob Adams,AdamBo00,False,False,TE-T,1969,1976,A
Brent Adams,AdamBr20,False,False,T,1975,1977,A
Charlie Adams,AdamCh00,False,False,WR,2003,2005,A
Chet Adams,AdamCh20,False,False,T-E-DT,1939,1950,A
Curtis Adams,AdamCu00,False,False,RB,1985,1988,A
D.J. Adams,AdamD.00,False,False,RB,2014,2014,A
Darvin Adams,AdamDa00,False,False,WR,2011,2011,A
Davante Adams,AdamDa01,True,False,WR,2014,2017,A
David Adams,AdamDa20,False,False,RB,1987,1987,A
Doug Adams,AdamDo20,False,False,LB,1971,1974,A
Earnest Adams,AdamEa20,False,False,LB,1987,1987,A
Flozell Adams,AdamFl00,False,False,T-G-TE,1998,2010,A
Gaines Adams,AdamGa99,False,False,DE,2007,2009,A
George Adams,AdamGe00,False,False,RB,1985,1991,A
Henry Adams,AdamHe20,False,False,C,1939,1939,A
Jamal Adams,AdamJa00,True,False,SS,2017,2017,A
Jamar Adams,AdamJa20,False,False,DB,2008,2010,A
Jeff Adams,AdamJe00,True,False,T,2012,2015,A
Jerell Adams,AdamJe01,True,False,TE,2016,2017,A
Joe Adams,AdamJo01,False,False,WR,2012,2012,A
John Adams,AdamJo20,False,False,T,1945,1949,A
John Adams,AdamJo00,False,False,E-FB,1959,1963,A
Johnny Adams,AdamJo02,False,False,CB,2013,2013,A
Julius Adams,AdamJu00,False,False,DE-DT,1971,1987,A
Keith Adams,AdamKe20,False,False,LB,2001,2007,A
Kendrick Adams,AdamKe01,False,False,DL,2012,2012,A
Kris Adams,AdamKr00,False,False,WR,2012,2012,A
Kyle Adams,AdamKy00,False,False,TE,2011,2013,A
Michael Adams,AdamMi20,False,False,DB,1987,1989,A
Michael Adams,AdamMi98,False,False,DB,2007,2013,A
Mike Adams,AdamMi00,False,False,WR,1997,1997,A
Mike Adams,AdamMi21,True,False,DB,2004,2017,A
Mike Adams,AdamMi02,False,False,OT,2012,2016,A
Montravius Adams,AdamMo00,True,False,DT,2017,2017,A
Neal Adams,AdamNe20,False,False,E,1942,1947,A
Pete Adams,AdamPe20,False,False,G,1974,1976,A
Phillip Adams,AdamPh00,False,False,DB,2010,2015,A
Rodney Adams,AdamRo01,True,False,WR,2017,2017,A
Sam Adams,AdamSa20,False,False,G-T,1972,1981,A
Sam Adams,AdamSa00,False,False,DT-DE,1994,2007,A
Scott Adams,AdamSc20,False,False,G-T,1992,1997,A
Stan Adams,AdamSt20,False,False,LB,1984,1984,A
Stefon Adams,AdamSt21,False,False,DB,1986,1990,A
Theo Adams,AdamTh20,False,False,T,1992,1993,A
Titus Adams,AdamTi00,False,False,DT,2009,2009,A
Tom Adams,AdamTo01,False,False,WR,1962,1962,A
Tony Adams,AdamTo00,False,False,QB,1975,1987,A
Tyrell Adams,AdamTy00,True,False,LB,2016,2017,A
Vashone Adams,AdamVa20,False,False,DB,1995,1997,A
Verlin Adams,AdamVe20,False,False,DE-T-G-E-LB,1943,1945,A
Willie Adams,AdamWi20,False,False,DE-LB,1965,1966,A
Willis Adams,AdamWi00,False,False,WR,1979,1985,A
Ken Adamson,AdamKe00,False,False,G,1960,1962,A
Levy Adcock,AdcoLe00,False,False,T,2012,2012,A
Jahleel Addae,AddaJa00,True,False,S,2013,2017,A
Joseph Addai,AddaJo00,False,False,RB,2006,2011,A
Abe Addams,AddaAb20,False,False,DE,1949,1949,A
Herb Adderley,AddeHe00,False,True,DB,1961,1972,A
Bralon Addison,AddiBr01,False,False,RB,2016,2016,A
Mario Addison,AddiMa00,True,False,DE,2011,2017,A
Tom Addison,AddiTo00,False,False,LB,1960,1967,A
Nick Adduci,AdduNi20,False,False,LB,1954,1955,A
Quincy Adeboyejo,AdebQu00,True,False,WR,2017,2017,A
Victor Adeyanju,AdeyVi20,False,False,DE,2006,2009,A
Xavier Adibi,AdibXa99,False,False,LB,2008,2012,A
John Adickes,AdicJo20,False,False,C,1987,1989,A
Mark Adickes,AdicMa20,False,False,G,1986,1991,A
Jude Adjei-Barimah,AdjeJu00,True,False,CB,2015,2016,A
Bob Adkins,AdkiBo20,False,False,BB-DE-G-LB,1940,1945,A
Kevin Adkins,AdkiKe20,False,False,DB,1987,1987,A
Margene Adkins,AdkiMa00,False,False,WR,1970,1973,A
Roy Adkins,AdkiRo20,False,False,G,1920,1920,A
Sam Adkins,AdkiSa00,False,False,QB,1977,1981,A
Spencer Adkins,AdkiSp99,False,False,LB,2009,2011,A
James Adkisson,AdkiJa00,False,False,WR,2006,2006,A
Daniel Adongo,AdonDa00,False,False,LB,2013,2015,A
Al Afalava,AfalAl99,False,False,DB,2009,2012,A
Erik Affholter,AffhEr00,False,False,WR,1991,1991,A
Dick Afflis,AfflDi20,False,False,T-DG-G,1951,1954,A
Ben Agajanian,AgajBe20,False,False,K,1945,1964,A
Alex Agase,AgasAl20,False,False,LB-G,1947,1953,A
Louis Age,AgexLo20,False,False,T,1992,1992,A
Mel Agee,AgeeMe20,False,False,DE-DT,1991,1995,A
Sam Agee,AgeeSa20,False,False,FB,1938,1939,A
Tommie Agee,AgeeTo00,False,False,RB,1988,1994,A
Nelson Agholor,AghoNe00,True,False,WR,2015,2017,A
Bob Agler,AgleBo20,False,False,HB-DB-FB-LB,1948,1949,A
Jamal Agnew,AgneJa00,True,False,CB,2017,2017,A
Ray Agnew,AgneRa20,False,False,DT-DE,1990,2000,A
Ray Agnew,AgneRa00,False,False,FB,2014,2014,A
Vince Agnew,AgneVi00,False,False,CB,2012,2012,A
Roberto Aguayo,AguaRo00,True,False,K,2016,2016,A
Louie Aguiar,aguialou01,False,False,P,1991,2000,A
Joe Aguirre,AguiJo20,False,False,E,1941,1949,A
C.J. Ah You,AhYoC.00,False,False,DE,2009,2011,A
Chidi Ahanotu,AhanCh20,False,False,DE-DT,1993,2004,A
Dan Ahern,AherDa20,False,False,T,1921,1921,A
Dave Ahrens,AhreDa20,False,False,LB,1981,1990,A
Tony Aiello,AielTo20,False,False,WB-BB,1944,1944,A
Danny Aiken,AikeDa00,False,False,LS,2011,2015,A
Kamar Aiken,AikeKa00,True,False,WR,2011,2017,A
Sam Aiken,AikeSa00,False,False,WR,2003,2010,A
Carl Aikens,AikeCa20,False,False,WR,1987,1987,A
Walt Aikens,AikeWa00,True,False,CB,2014,2017,A
Troy Aikman,AikmTr00,False,True,QB,1989,2000,A
Jim Ailinger,AiliJi20,False,False,G,1924,1924,A
Charles Aiu,AiuxCh20,False,False,G,1976,1978,A
Victor Aiyewa,AiyeVi00,False,False,LB,2013,2013,A
Jay Ajayi,AjayJa00,True,False,RB,2015,2017,A
Seyi Ajirotutu,AjirSe00,False,False,WR,2010,2015,A
Hakim Akbar,AkbaHa20,False,False,LB,2001,2002,A
David Akers,akersdav01,False,False,K,1998,2013,A
Harold Akin,AkinHa20,False,False,T,1967,1968,A
Len Akin,AkinLe20,False,False,G-LB,1942,1942,A
Al Akins,AkinAl20,False,False,HB-DB,1946,1948,A
Chris Akins,AkinCh20,False,False,DB,1999,2003,A
Frank Akins,AkinFr00,False,False,FB,1943,1946,A
Mike Akiu,AkiuMi20,False,False,WR,1985,1986,A
Anthony Alabi,AlabAn20,False,False,T,2006,2007,A
Ikaika Alama-Francis,AlamIk99,False,False,DE,2007,2011,A
Dick Alban,AlbaDi00,False,False,DB,1952,1959,A
Dom Albanese,AlbaDo20,False,False,BB-E-FB,1925,1925,A
Vannie Albanese,AlbaVa20,False,False,FB-DB-BB-LB,1937,1938,A
Tom Alberghini,AlbeTo20,False,False,G,1945,1945,A
Branden Albert,AlbeBr20,False,False,G,2008,2016,A
Frankie Albert,AlbeFr00,False,False,QB-DB,1946,1952,A
Sergio Albert,AlbeSe20,False,False,K,1974,1974,A
Trev Alberts,AlbeTr20,False,False,LB,1994,1996,A
Art Albrecht,AlbrAr20,False,False,T-C-LB,1942,1944,A
Ted Albrecht,AlbrTe20,False,False,T-G,1977,1981,A
Alex Albright,AlbrAl00,False,False,LB,2011,2012,A
Bill Albright,AlbrBi20,False,False,G-T-DT,1951,1954,A
Bryson Albright,AlbrBr00,True,False,LB,2016,2017,A
Ethan Albright,AlbrEt20,False,False,G-C-T,1995,2010,A
Ira Albright,AlbrIr20,False,False,NT-RB,1987,1987,A
Vince Albritton,AlbrVi20,False,False,DB,1984,1991,A
Zac Alcorn,AlcoZa20,False,False,TE,2006,2006,A
Grady Alderman,AldeGr00,False,False,T-G,1960,1974,A
John Alderton,AldeJo20,False,False,DE,1953,1953,A
Ki Aldrich,AldrKi20,False,False,C-LB-G,1939,1947,A
Allen Aldridge,AldrAl20,False,False,DE,1971,1974,A
Allen Aldridge,AldrAl21,False,False,LB,1994,2001,A
Bennie Aldridge,AldrBe00,False,False,DB-HB,1950,1953,A
Jerry Aldridge,AldrJe20,False,False,RB,1980,1980,A
Kevin Aldridge,AldrKe20,False,False,DE,2002,2002,A
Lionel Aldridge,AldrLi20,False,False,DE,1963,1973,A
Melvin Aldridge,AldrMe20,False,False,DB,1993,1995,A
Arnold Ale,AlexAr20,False,False,LB,1994,1996,A
Ink Aleaga,AleaIn20,False,False,LB,1997,1999,A
Chas Alecxih,AlecCh00,False,False,DT,2012,2014,A
Keith Alex,AlexKe20,False,False,G,1993,1993,A
Steve Alexakos,AlexSt20,False,False,G,1970,1971,A
Alvester Alexander,AlexAl00,False,False,RB,2012,2012,A
Brent Alexander,AlexBr20,False,False,DB,1994,2005,A
Bruce Alexander,AlexBr21,False,False,DB,1989,1993,A
Charles Alexander,AlexCh00,False,False,RB,1979,1985,A
D.J. Alexander,AlexD.00,True,False,OLB,2015,2017,A
Dan Alexander,AlexDa20,False,False,G-T,1977,1989,A
Dan Alexander,AlexDa21,False,False,RB,2001,2003,A
Danario Alexander,AlexDa00,False,False,WR,2010,2012,A
David Alexander,AlexDa22,False,False,C-G-T,1987,1996,A
Derrick Alexander,AlexDe00,False,False,WR,1994,2002,A
Derrick Alexander,AlexDe20,False,False,DE,1995,1999,A
Doc Alexander,AlexDo20,False,False,C-G-T-E,1921,1927,A
Dominique Alexander,AlexDo01,True,False,LB,2016,2017,A
Elijah Alexander,AlexEl20,False,False,LB,1992,2001,A
Eric Alexander,AlexEr20,False,False,LB,2004,2010,A
Frank Alexander,AlexFr00,False,False,DE,2012,2014,A
Gerald Alexander,AlexGe99,False,False,DB,2007,2011,A
Glenn Alexander,AlexGl00,False,False,WR,1970,1970,A
Harold Alexander,AlexHa20,False,False,P,1993,1994,A
Jeff Alexander,AlexJe00,False,False,RB,1989,1992,A
John Alexander,AlexJo20,False,False,T,1922,1926,A
John Alexander,AlexJo21,False,False,DE,1977,1978,A
Kermit Alexander,AlexKe01,False,False,DB,1963,1973,A
Kevin Alexander,AlexKe00,False,False,WR,1996,1997,A
Kevin Alexander,AlexKe02,False,False,LB-DE,2010,2010,A
Kwon Alexander,AlexKw00,True,False,OLB,2015,2017,A
Lorenzo Alexander,AlexLo99,True,False,LB,2007,2017,A
Mackensie Alexander,AlexMa01,True,False,CB,2016,2017,A
Maurice Alexander,AlexMa00,True,False,SS,2014,2017,A
Mike Alexander,AlexMi00,False,False,WR,1989,1991,A
Mister Alexander,AlexMi01,False,False,LB,2011,2014,A
P.J. Alexander,AlexP.20,False,False,G,2004,2007,A
Patrise Alexander,AlexPa20,False,False,LB,1996,1998,A
Ray Alexander,AlexRa00,False,False,WR,1984,1989,A
Robert Alexander,AlexRo20,False,False,RB,1982,1983,A
Roc Alexander,AlexRo21,False,False,DB,2004,2006,A
Rogers Alexander,AlexRo22,False,False,LB,1986,1987,A
Rufus Alexander,AlexRu20,False,False,LB,2008,2008,A
Shaun Alexander,AlexSh00,False,False,RB,2000,2008,A
Stephen Alexander,AlexSt00,False,False,TE,1998,2006,A
Vadal Alexander,AlexVa00,True,False,OG,2016,2017,A
Vincent Alexander,AlexVi20,False,False,RB,1987,1987,A
Willie Alexander,AlexWi20,False,False,DB,1971,1979,A
Alton Alexis,AlexAl20,False,False,WR,1980,1980,A
Rich Alexis,AlexRi00,False,False,RB,2005,2007,A
Ted Alflen,AlflTe20,False,False,RB,1969,1969,A
Julie Alfonse,AlfoJu20,False,False,WB-TB-DB,1937,1938,A
Brian Alford,AlfoBr00,False,False,WR,1998,1999,A
Bruce Alford,AlfoBr01,False,False,E-DB,1946,1951,A
Bruce Alford,AlfoBr20,False,False,K,1967,1969,A
Darnell Alford,AlfoDa20,False,False,G,2000,2001,A
Dominic Alford,AlfoDo00,False,False,OL,2012,2012,A
Gene Alford,AlfoGe20,False,False,WB-DB-BB-FB,1931,1934,A
Jay Alford,AlfoJa99,False,False,DT,2007,2010,A
Lynwood Alford,AlfoLy20,False,False,LB,1987,1987,A
Mario Alford,AlfoMa00,True,False,WR,2015,2016,A
Mike Alford,AlfoMi20,False,False,C,1965,1966,A
Robert Alford,AlfoRo00,True,False,CB,2013,2017,A
Warren Alfson,AlfsWa20,False,False,G-LB,1941,1941,A
Charles Ali,AlixCh00,False,False,RB,2007,2008,A
Tuineau Alipate,AlipTu20,False,False,LB,1994,1995,A
Don Allard,AllaDo20,False,False,QB,1961,1962,A
Raul Allegre,allegrau01,False,False,K,1983,1991,A
Andy Alleman,AlleAn20,False,False,G,2008,2009,A
Anthony Allen,AlleAn00,False,False,WR,1985,1989,A
Anthony Allen,AlleAn01,False,False,RB,2011,2012,A
Antonio Allen,AlleAn02,False,False,SS,2012,2016,A
Armando Allen,AlleAr00,False,False,RB,2011,2012,A
Asher Allen,AlleAs99,False,False,DB,2009,2011,A
Beau Allen,AlleBe00,True,False,DT,2014,2017,A
Brian Allen,AlleBr21,False,False,LB,2001,2004,A
Brian Allen,AlleBr20,False,False,RB,2003,2003,A
Brian Allen,AlleBr01,True,False,CB,2017,2017,A
Buddy Allen,AlleBu00,False,False,HB,1961,1961,A
Carl Allen,AlleCa20,False,False,RB-DB,1948,1948,A
Carl Allen,AlleCa21,False,False,DB,1977,1982,A
Chase Allen,AlleCh02,True,False,LB,2017,2017,A
Chuck Allen,AlleCh00,False,False,LB,1961,1972,A
Cortez Allen,AlleCo00,False,False,DB,2011,2015,A
Dalva Allen,AlleDa20,False,False,DE,1960,1964,A
David Allen,AlleDa00,False,False,RB,2003,2005,A
Denicos Allen,AlleDe00,False,False,OLB,2014,2014,A
Derek Allen,AlleDe20,False,False,G,1995,1995,A
Don Allen,AlleDo01,False,False,FB,1960,1960,A
Doug Allen,AlleDo20,False,False,LB,1974,1975,A
Duane Allen,AlleDu00,False,False,TE,1961,1967,A
Dwayne Allen,AlleDw00,True,False,TE,2012,2017,A
Earl Allen,AlleEa20,False,False,DB,1987,1987,A
Ed Allen,AlleEd20,False,False,E,1928,1928,A
Eddie Allen,AlleEd21,False,False,FB-LB,1947,1947,A
Egypt Allen,AlleEg20,False,False,DB,1987,1987,A
Eric Allen,AlleEr00,False,False,DB,1988,2001,A
Ermal Allen,AlleEr20,False,False,QB-DB,1947,1947,A
Gary Allen,AlleGa20,False,False,RB,1982,1984,A
George Allen,AlleGe20,False,False,T,1966,1966,A
Gerry Allen,AlleJe00,False,False,RB,1966,1969,A
Grady Allen,AlleGr20,False,False,LB,1968,1972,A
Greg Allen,AlleGr21,False,False,RB,1985,1986,A
Harvey Allen,AlleHa20,False,False,DB,1987,1987,A
Ian Allen,AlleIa20,False,False,T,2002,2005,A
Jackie Allen,AlleJa20,False,False,DB,1969,1972,A
Jake Allen,AlleJa24,False,False,WR,2009,2009,A
James Allen,AlleJa00,False,False,RB,1998,2002,A
James Allen,AlleJa21,False,False,LB,2002,2005,A
Jared Allen,AlleJa22,False,False,DE,2004,2015,A
Jason Allen,AlleJa23,False,False,DB,2006,2012,A
Javorius Allen,AlleJa01,True,False,RB,2015,2017,A
Jeff Allen,AlleJe21,False,False,DB,1971,1971,A
Jeff Allen,AlleJe20,False,False,DB,1980,1982,A
Jeff Allen,AlleJe01,True,False,T,2012,2017,A
Jimmy Allen,AlleJi20,False,False,DB,1974,1981,A
Johnny Allen,AlleJo20,False,False,C-LB,1955,1958,A
Jonathan Allen,AlleJo01,True,False,DT,2017,2017,A
Josh Allen,AlleJo00,True,False,C,2014,2014,A
Keenan Allen,AlleKe00,True,False,WR,2013,2017,A
Kenderick Allen,AlleKe20,False,False,DT,2003,2006,A
Kevin Allen,AlleKe21,False,False,T,1985,1985,A
Larry Allen,AlleLa00,False,True,G-T,1994,2007,A
Lou Allen,AlleLo20,False,False,T,1950,1951,A
Lynn Allen,AlleLy20,False,False,WB,1920,1920,A
Marcus Allen,AlleMa00,False,True,RB,1982,1997,A
Marvin Allen,AlleMa01,False,False,RB,1988,1991,A
Matt Allen,AlleMa20,False,False,P,2002,2002,A
Nate Allen,AlleNa20,False,False,DB,1971,1979,A
Nate Allen,AlleNa99,True,False,DB,2010,2017,A
Patrick Allen,AllePa20,False,False,DB,1984,1990,A
Rashaun Allen,AlleRa00,True,False,TE,2014,2014,A
Ricardo Allen,AlleRi00,True,False,CB,2014,2017,A
Roger Allen,AlleRo20,False,False,G,2009,2012,A
Russell Allen,AlleRu00,False,False,LB,2009,2013,A
Ryan Allen,AlleRy01,True,False,P,2013,2017,A
Taje Allen,AlleTa20,False,False,DB,1997,2002,A
Terry Allen,AlleTe00,False,False,RB,1991,2001,A
Torrence Allen,AlleTo00,False,False,WR,2014,2014,A
Tremayne Allen,AlleTr00,False,False,TE,1997,1997,A
Will Allen,AlleWi20,False,False,DB,2001,2012,A
Will Allen,AlleWi21,False,False,DB,2004,2015,A
Kurt Allerman,AlleKu20,False,False,LB,1977,1985,A
Ty Allert,AlleTy20,False,False,LB,1986,1990,A
Don Alley,AlleDo00,False,False,WR,1967,1969,A
Aundrae Allison,AlliAu00,False,False,WR,2007,2008,A
Geronimo Allison,AlliGe01,True,False,WR,2016,2017,A
Henry Allison,AlliHe20,False,False,G-T,1971,1977,A
Jim Allison,AlliJi00,False,False,RB,1965,1968,A
Neely Allison,AlliNe20,False,False,E,1926,1928,A
Buddy Alliston,AlliBu20,False,False,LB,1960,1960,A
Bob Allman,AllmBo20,False,False,E,1936,1936,A
Brian Allred,AllrBr20,False,False,DB,1993,1993,A
Colin Allred,AllrCo99,False,False,LB,2007,2010,A
John Allred,AllrJo00,False,False,TE,1997,2002,A
Joe Allton,AlltJo20,False,False,T,1942,1942,A
Jeff Alm,AlmxJe20,False,False,DT,1990,1993,A
Beau Almodobar,AlmoBe20,False,False,WR,1987,1987,A
Kiko Alonso,AlonKi00,True,False,ILB,2013,2017,A
Gerald Alphin,AlphGe20,False,False,WR,1990,1991,A
Jon Alston,AlstJo20,False,False,LB,2006,2009,A
Lyneal Alston,AlstLy20,False,False,WR,1987,1987,A
Mack Alston,AlstMa00,False,False,TE,1970,1980,A
O'Brien Alston,AlstOB20,False,False,LB,1988,1989,A
Richard Alston,AlstRi20,False,False,WR,2004,2004,A
Mike Alstott,AlstMi00,False,False,RB,1996,2006,A
John Alt,AltxJo00,False,False,T,1984,1996,A
Jim Althoff,AlthJi20,False,False,DT,1987,1987,A
Tyson Alualu,AluaTy99,True,False,DT,2010,2017,A
Wilson Alvarez,alvarwil01,False,False,K,1981,1981,A
Steve Alvers,AlveSt20,False,False,TE-C,1981,1982,A
Steve Alvord,AlvoSt20,False,False,DT,1987,1988,A
Tom Alward,AlwaTo20,False,False,G,1976,1976,A
Lance Alworth,AlwoLa00,False,True,FL-WR,1962,1972,A
Lyle Alzado,AlzaLy00,False,False,DE-DT,1971,1985,A
Eugene Amano,AmanEu20,False,False,C,2004,2012,A
Jace Amaro,AmarJa00,True,False,TE,2014,2016,A
Ken Amato,AmatKe20,False,False,C,2003,2011,A
Jonathon Amaya,AmayJo00,False,False,DB,2010,2012,A
John Amberg,AmbeJo00,False,False,DB-HB,1951,1952,A
Ashley Ambrose,AmbrAs00,False,False,DB,1992,2004,A
Dick Ambrose,AmbrDi20,False,False,LB,1975,1983,A
John Ambrose,AmbrJo20,False,False,C,1932,1932,A
Walt Ambrose,AmbrWa20,False,False,G,1930,1930,A
Alan Ameche,AmecAl00,False,False,FB,1955,1960,A
Danny Amendola,AmenDa00,True,False,WR,2009,2017,A
David Amerson,AmerDa00,True,False,CB,2013,2017,A
Glen Amerson,AmerGl20,False,False,DB,1961,1961,A
Dave Ames,AmesDa00,False,False,HB-DB,1961,1961,A
Otis Amey,AmeyFr00,False,False,WR,2005,2005,A
Vincent Amey,AmeyVi20,False,False,DE,1998,1998,A
Richard Amman,AmmaRi20,False,False,DE-DT,1972,1973,A
Adrian Amos,AmosAd00,True,False,FS,2015,2017,A
Marty Amsler,AmslMa20,False,False,DE,1967,1970,A
Joe Amstutz,AmstJo20,False,False,C,1957,1957,A
Prince Amukamara,AmukPr00,True,False,CB,2011,2017,A
Norm Amundsen,AmunNo20,False,False,G,1957,1957,A
George Amundson,AmunGe00,False,False,RB,1973,1975,A
Vito Ananis,AnanVi20,False,False,HB-DB,1945,1945,A
Rudy Andabaker,AndaRu20,False,False,G,1952,1954,A
Kimble Anders,AndeKi00,False,False,RB,1991,2000,A
Jason Andersen,AndeJa20,False,False,G,1999,2002,A
Morten Andersen,andermor01,False,True,K,1982,2007,A
Stan Andersen,AndeSt20,False,False,T-E,1940,1941,A
 Anderson,Andexx20,False,False,WB,1922,1922,A
Alec Anderson,AndeAl20,False,False,G,1921,1921,A
Alfred Anderson,AndeAl00,False,False,RB,1984,1991,A
Andre' Anderson,AndeAn23,False,False,RB,2010,2010,A
Anthony Anderson,AndeAn20,False,False,RB,1979,1980,A
Anthony Anderson,AndeAn21,False,False,DB,1987,1987,A
Antonio Anderson,AndeAn22,False,False,DT-DE,1997,1998,A
Aric Anderson,AndeAr20,False,False,LB,1987,1987,A
Art Anderson,AndeAr21,False,False,T,1961,1963,A
Bennie Anderson,AndeBe20,False,False,G,2001,2006,A
Bill Anderson,AndeBi20,False,False,DE,1945,1945,A
Bill Anderson,AndeBi00,False,False,E-TE,1958,1966,A
Billy Anderson,AndeBi01,False,False,DB-HB,1953,1954,A
Billy Guy Anderson,AndeBi21,False,False,QB,1967,1967,A
Bob Anderson,AndeBo01,False,False,HB,1963,1963,A
Bobby Anderson,AndeBo00,False,False,RB,1970,1975,A
Brad Anderson,AndeBr20,False,False,WR,1984,1985,A
Brandon Anderson,AndeBr23,False,False,DB,2009,2009,A
Bruce Anderson,AndeBr21,False,False,DE-DT,1966,1970,A
Bryan Anderson,AndeBr22,False,False,G,2004,2004,A
C.J. Anderson,AndeC.00,True,False,RB,2013,2017,A
Charlie Anderson,AndeCh20,False,False,DE-E,1956,1956,A
Charlie Anderson,AndeCh21,False,False,LB,2004,2010,A
Chet Anderson,AndeCh00,False,False,TE,1967,1967,A
Cliff Anderson,AndeCl00,False,False,E,1952,1953,A
Colt Anderson,AndeCo01,True,False,DB,2010,2017,A
Courtney Anderson,AndeCo00,False,False,TE,2004,2007,A
Curtis Anderson,AndeCu20,False,False,DE-DT,1979,1979,A
Curtis Anderson,AndeCu21,False,False,DB,1997,1997,A
Damien Anderson,AndeDa00,False,False,RB,2002,2005,A
Darren Anderson,AndeDa20,False,False,DB,1992,1998,A
David Anderson,AndeDa01,False,False,WR,2006,2011,A
Deon Anderson,AndeDe01,False,False,FB,2007,2010,A
Derek Anderson,AndeDe00,True,False,QB,2006,2017,A
Dick Anderson,AndeDi20,False,False,T,1967,1967,A
Dick Anderson,AndeDi00,False,False,DB,1968,1977,A
Don Anderson,AndeDo20,False,False,DB,1985,1987,A
Donny Anderson,AndeDo00,False,False,RB,1966,1974,A
Dunstan Anderson,AndeDu20,False,False,DE,1994,1997,A
Dwayne Anderson,AndeDw20,False,False,DB,1987,1987,A
Dwight Anderson,AndeDw21,False,False,DB,2004,2005,A
Eddie Anderson,AndeEd20,False,False,E,1922,1925,A
Eddie Anderson,AndeEd21,False,False,DB,1986,1997,A
Erick Anderson,AndeEr20,False,False,LB,1993,1994,A
Flipper Anderson,AndeFl00,False,False,WR,1988,1997,A
Fred Anderson,AndeFr20,False,False,DE-DT,1978,1982,A
Gary Anderson,AndeGa20,False,False,G,1977,1980,A
Gary Anderson,andergar02,False,False,K,1982,2004,A
Gary Anderson,AndeGa00,False,False,RB,1985,1993,A
Henry Anderson,AndeHe00,True,False,DE,2015,2017,A
Herbie Anderson,AndeHe20,False,False,DB,1991,1991,A
Hunk Anderson,AndeHu20,False,False,G-C,1922,1925,A
